user_id,timestamp,action
0,25-04-2019 13:30,page_load
0,25-04-2019 13:30,page_load
0,25-04-2019 13:30,scroll_down
0,25-04-2019 13:30,scroll_up
0,25-04-2019 13:31,scroll_down
0,25-04-2019 13:31,scroll_down
0,25-04-2019 13:31,page_exit
1,25-04-2019 13:40,page_load
1,25-04-2019 13:40,scroll_down
1,25-04-2019 13:40,scroll_down
1,25-04-2019 13:40,scroll_down
1,25-04-2019 13:40,scroll_down
1,25-04-2019 13:40,scroll_down
1,25-04-2019 13:40,page_exit
2,25-04-2019 13:41,page_load
2,25-04-2019 13:41,scroll_down
2,25-04-2019 13:41,scroll_down
2,25-04-2019 13:41,scroll_up
1,26-04-2019 11:15,page_load
1,26-04-2019 11:15,scroll_down
1,26-04-2019 11:15,scroll_down
1,26-04-2019 11:15,scroll_up
1,26-04-2019 11:15,page_exit
0,28-04-2019 14:30,page_load
0,28-04-2019 14:30,page_load
0,28-04-2019 13:30,scroll_down
0,28-04-2019 15:31,page_exit
